Char Dec	Hex	
🗞	128478	1F5DE	
🗡	128481	1F5E1	
🗣	128483	1F5E3	
🗨	128488	1F5E8	
🗯	128495	1F5EF	
🗳	128499	1F5F3	
🗺	128506	1F5FA	
🗻	128507	1F5FB	
🗼	128508	1F5FC	
🗽	128509	1F5FD	
🗾	128510	1F5FE	
🗿	128511	1F5FF	
😀	128512	1F600	
😁	128513	1F601	
😂	128514	1F602	
😃	128515	1F603	
😄	128516	1F604	
😅	128517	1F605	
😆	128518	1F606	
😇	128519	1F607	
😈	128520	1F608	
😉	128521	1F609	
😊	128522	1F60A	
😋	128523	1F60B	
😌	128524	1F60C	
😍	128525	1F60D	
😎	128526	1F60E	
😏	128527	1F60F	
😐	128528	1F610	
😑	128529	1F611	
😒	128530	1F612	
😓	128531	1F613	
😔	128532	1F614	
😕	128533	1F615	
😖	128534	1F616	
😗	128535	1F617	
😘	128536	1F618	
😙	128537	1F619	
😚	128538	1F61A	
😛	128539	1F61B	
😜	128540	1F61C	
😝	128541	1F61D	
😞	128542	1F61E	
😟	128543	1F61F	
😠	128544	1F620	
😡	128545	1F621	
😢	128546	1F622	
😣	128547	1F623	
😤	128548	1F624	
😥	128549	1F625	
😦	128550	1F626	
😧	128551	1F627	
😨	128552	1F628	
😩	128553	1F629	
😪	128554	1F62A	
😫	128555	1F62B	
😬	128556	1F62C	
😭	128557	1F62D	
😮	128558	1F62E	
😯	128559	1F62F	
😰	128560	1F630	
😱	128561	1F631	
😲	128562	1F632	
😳	128563	1F633	
😴	128564	1F634	
😵	128565	1F635	
😶	128566	1F636	
😷	128567	1F637	
😸	128568	1F638	
😹	128569	1F639	
😺	128570	1F63A	
😻	128571	1F63B	
😼	128572	1F63C	
😽	128573	1F63D	
😾	128574	1F63E	
😿	128575	1F63F	
🙀	128576	1F640	
🙁	128577	1F641	
🙂	128578	1F642	
🙃	128579	1F643	
🙄	128580	1F644	
🙅	128581	1F645	
🙆	128582	1F646	
🙇	128583	1F647	
🙈	128584	1F648	
🙉	128585	1F649	
🙊	128586	1F64A	
🙋	128587	1F64B	
🙌	128588	1F64C	
🙍	128589	1F64D	
🙎	128590	1F64E	
🙏	128591	1F64F	
🚀	128640	1F680	
🚁	128641	1F681	
🚂	128642	1F682	
🚃	128643	1F683	
🚄	128644	1F684	
🚅	128645	1F685	
🚆	128646	1F686	
🚇	128647	1F687	
🚈	128648	1F688	
🚉	128649	1F689	
🚊	128650	1F68A	
🚋	128651	1F68B	
🚌	128652	1F68C	
🚍	128653	1F68D	
🚎	128654	1F68E	
🚏	128655	1F68F	
🚐	128656	1F690	
🚑	128657	1F691	
🚒	128658	1F692	
🚓	128659	1F693	
🚔	128660	1F694	
🚕	128661	1F695	
🚖	128662	1F696	
🚗	128663	1F697	
🚘	128664	1F698	
🚙	128665	1F699	
🚚	128666	1F69A	
🚛	128667	1F69B	
🚜	128668	1F69C	
🚝	128669	1F69D	
🚞	128670	1F69E	
🚟	128671	1F69F	
🚠	128672	1F6A0	
🚡	128673	1F6A1	
🚢	128674	1F6A2	
🚣	128675	1F6A3	
🚤	128676	1F6A4	
🚥	128677	1F6A5	
🚦	128678	1F6A6	
🚧	128679	1F6A7	
🚨	128680	1F6A8	
🚩	128681	1F6A9	
🚪	128682	1F6AA	
🚫	128683	1F6AB	
🚬	128684	1F6AC	
🚭	128685	1F6AD	
🚮	128686	1F6AE	
🚯	128687	1F6AF	
🚰	128688	1F6B0	
🚱	128689	1F6B1	
🚲	128690	1F6B2	
🚳	128691	1F6B3	
🚴	128692	1F6B4	
🚵	128693	1F6B5	
🚶	128694	1F6B6	
🚷	128695	1F6B7	
🚸	128696	1F6B8	
🚹	128697	1F6B9	
🚺	128698	1F6BA	
🚻	128699	1F6BB	
🚼	128700	1F6BC	
🚽	128701	1F6BD	
🚾	128702	1F6BE	
🚿	128703	1F6BF	
🛀	128704	1F6C0	
🛁	128705	1F6C1	
🛂	128706	1F6C2	
🛃	128707	1F6C3	
🛄	128708	1F6C4	
🛅	128709	1F6C5	
🛋	128715	1F6CB	
🛌	128716	1F6CC	
🛍	128717	1F6CD	
🛎	128718	1F6CE	
🛏	128719	1F6CF	
🛐	128720	1F6D0	
🛑	128721	1F6D1	
🛒	128722	1F6D2	
🛠	128736	1F6E0	
🛡	128737	1F6E1	
🛢	128738	1F6E2	
🛣	128739	1F6E3	
🛤	128740	1F6E4	
🛥	128741	1F6E5	
🛩	128745	1F6E9	
🛫	128747	1F6EB	
🛬	128748	1F6EC	
🛰	128752	1F6F0	
🛳	128755	1F6F3	
🛴	128756	1F6F4	
🛵	128757	1F6F5	
🛶	128758	1F6F6	
🛷	128759	1F6F7	
🛸	128760	1F6F8	
🛹	128761	1F6F9	
🛺	128762	1F6FA	
🤐	129296	1F910	
🤑	129297	1F911	
🤒	129298	1F912	
🤓	129299	1F913	
🤔	129300	1F914	
🤕	129301	1F915	
🤖	129302	1F916	
🤗	129303	1F917	
🤘	129304	1F918	
🤙	129305	1F919	
🤚	129306	1F91A	
🤛	129307	1F91B	
🤜	129308	1F91C	
🤝	129309	1F91D	
🤞	129310	1F91E	
🤟	129311	1F91F	
🤠	129312	1F920	
🤡	129313	1F921	
🤢	129314	1F922	
🤣	129315	1F923	
🤤	129316	1F924	
🤥	129317	1F925	
🤦	129318	1F926	
🤧	129319	1F927	
🤨	129320	1F928	
🤩	129321	1F929	
🤪	129322	1F92A	
🤫	129323	1F92B	
🤬	129324	1F92C	
🤭	129325	1F92D	
🤮	129326	1F92E	
🤯	129327	1F92F	
🤰	129328	1F930	
🤱	129329	1F931	
🤲	129330	1F932	
🤳	129331	1F933	
🤴	129332	1F934	
🤵	129333	1F935	
🤶	129334	1F936	
🤷	129335	1F937	
🤸	129336	1F938	
🤹	129337	1F939	
🤺	129338	1F93A	
🤼	129340	1F93C	
🤽	129341	1F93D	
🤾	129342	1F93E	
🥀	129344	1F940	
🥁	129345	1F941	
🥂	129346	1F942	
🥃	129347	1F943	
🥄	129348	1F944	
🥅	129349	1F945	
🥇	129351	1F947	
🥈	129352	1F948	
🥉	129353	1F949	
🥊	129354	1F94A	
🥋	129355	1F94B	
🥌	129356	1F94C	
🥍	129357	1F94D	
🥎	129358	1F94E	
🥏	129359	1F94F	
🥐	129360	1F950	
🥑	129361	1F951	
🥒	129362	1F952	
🥓	129363	1F953	
🥔	129364	1F954	
🥕	129365	1F955	
🥖	129366	1F956	
🥗	129367	1F957	
🥘	129368	1F958	
🥙	129369	1F959	
🥚	129370	1F95A	
🥛	129371	1F95B	
🥜	129372	1F95C	
🥝	129373	1F95D	
🥞	129374	1F95E	
🥟	129375	1F95F	
🥠	129376	1F960	
🥡	129377	1F961	
🥢	129378	1F962	
🥣	129379	1F963	
🥤	129380	1F964	
🥥	129381	1F965	
🥦	129382	1F966	
🥧	129383	1F967	
🥨	129384	1F968	
🥩	129385	1F969	
🥪	129386	1F96A	
🥫	129387	1F96B	
🦀	129408	1F980	
🦁	129409	1F981	
🦂	129410	1F982	
🦃	129411	1F983	
🦄	129412	1F984	
🦅	129413	1F985	
🦆	129414	1F986	
🦇	129415	1F987	
🦈	129416	1F988	
🦉	129417	1F989	
🦊	129418	1F98A	
🦋	129419	1F98B	
🦌	129420	1F98C	
🦍	129421	1F98D	
🦎	129422	1F98E	
🦏	129423	1F98F	
🦐	129424	1F990	
🦑	129425	1F991	
🦒	129426	1F992	
🦓	129427	1F993	
🦔	129428	1F994	
🦕	129429	1F995	
🦖	129430	1F996	
🦗	129431	1F997	
🧀	129472	1F9C0	
🧐	129488	1F9D0	
🧑	129489	1F9D1	
🧒	129490	1F9D2	
🧓	129491	1F9D3	
🧔	129492	1F9D4	
🧕	129493	1F9D5	
🧖	129494	1F9D6	
🧗	129495	1F9D7	
🧘	129496	1F9D8	
🧙	129497	1F9D9	
🧚	129498	1F9DA	
🧛	129499	1F9DB	
🧜	129500	1F9DC	
🧝	129501	1F9DD	
🧞	129502	1F9DE	
🧟	129503	1F9DF	
🧠	129504	1F9E0	
🧡	129505	1F9E1	
🧢	129506	1F9E2	
🧣	129507	1F9E3	
🧤	129508	1F9E4	
🧥	129509	1F9E5	
🧦	129510	1F9E6
